1,0,1,0,0,1,8,0
13,0,55,8,10,12,4,1
4,0,4,0,0,1,8,0
10,0,29,8,6,11,4,0
8,0,53,0,5,1,100,0
16,1,42,6,2,9,44,0
4,0,7,0,0,1,4,0
7,0,10,0,2,1,32,0
11,0,31,4,2,6,48,1
1,0,1,0,0,1,12,0
12,0,75,2,8,4,108,0
7,0,22,0,0,1,76,0
3,0,11,0,2,1,4,0
14,0,30,3,1,5,56,1
8,0,29,0,4,1,96,0
2,0,9,0,2,1,4,0
7,0,9,0,2,1,32,0
3,0,3,1,0,1,4,0
5,1,7,0,0,1,12,0
12,0,37,3,4,5,48,0
15,0,118,19,6,23,92,0
7,0,10,0,2,1,32,0
32,7,664,152,18,192,172,1
8,0,22,0,3,1,96,0
17,3,48,5,1,8,32,1
3,0,9,0,2,1,4,0
2,0,2,1,0,1,4,0
8,0,16,0,2,1,56,0
9,0,38,3,4,7,4,0
19,0,101,6,7,9,144,1
16,2,107,15,5,20,64,0
2,0,2,0,0,1,4,0
2,0,9,0,2,1,4,0
8,0,27,0,3,1,100,0
7,0,12,0,1,1,36,0
9,0,23,4,2,8,32,0
3,0,4,1,0,1,8,0
11,1,23,2,2,4,32,0
12,0,27,3,1,5,32,1
9,0,20,0,0,1,72,0
13,0,24,2,2,5,36,0
15,1,63,3,6,4,120,0
1,0,1,1,0,1,148,0
7,0,25,3,3,7,4,0
9,0,22,3,4,6,32,0
11,0,52,5,10,9,4,0
1,0,1,0,0,1,4,0
8,0,15,0,0,1,56,0
13,0,58,2,2,4,68,0
4,0,5,1,0,1,4,0
9,0,22,3,4,6,32,0
2,0,2,0,0,1,4,0
15,1,31,2,2,4,48,1
3,0,3,1,0,1,4,0
12,0,55,2,2,3,148,0
2,0,9,0,2,1,4,0
4,0,10,0,2,1,4,0
16,1,77,9,5,14,128,0
4,0,9,0,2,1,4,0
11,0,53,5,10,9,4,0
11,0,43,4,2,8,32,0
7,0,21,2,2,5,4,0
1,0,1,1,0,1,144,0
2,0,5,0,0,1,24,0
2,1,2,0,0,1,4,0
5,1,55,0,0,1,8,0
5,0,12,0,1,1,40,0
2,0,2,0,0,1,4,0
11,0,47,3,6,6,96,0
2,0,2,0,0,1,8,0
17,0,153,6,9,10,180,0
2,1,2,0,0,1,12,0
11,1,23,2,2,4,32,0
11,0,24,3,1,5,48,0
11,1,32,0,4,1,100,0
